city_name,population_density,avg_income,internet_penetration,avg_rent,air_quality_index,public_transport_score,happiness_score,green_space_ratio,country_Africa,country_Asia,country_Europe,country_North America,country_Oceania,country_South America
Old Vista,0.18671040692398969,0.6431297709923663,86.4,0.504424778761062,0.16935483870967738,0.4625,8.5,0.3892857142857143,False,False,True,False,False,False
Beachport,0.2625113422209814,0.6145038167938931,78.1,0.5132743362831859,0.16129032258064513,0.5975,8.1,0.5553571428571429,False,False,True,False,False,False
Valleyborough,0.17184337265303273,0.7309160305343511,80.1,0.5132743362831859,0.13709677419354838,0.7275,8.5,0.6821428571428572,False,False,True,False,False,False
City,0.2158162909192434,0.666030534351145,81.2,0.5796460176991151,0.3064516129032258,0.4275000000000001,8.5,0.7428571428571429,False,False,True,False,False,False
Falls,0.23703496893976408,0.732824427480916,100.0,0.5929203539823009,0.3387096774193548,0.9837500000000001,8.5,0.7232142857142857,False,False,True,False,False,False
North Falls,0.09380889230124939,0.7938931297709924,78.5,0.6415929203539823,0.10483870967741932,0.4575,8.4,0.3267857142857143,False,False,True,False,False,False
Hillhaven,0.07908145459621693,0.5667938931297709,84.2,0.40265486725663713,0.2661290322580645,0.40625,8.5,0.8571428571428571,False,False,True,False,False,False
Gardenton,0.0583513645564319,0.5973282442748091,72.4,0.5973451327433628,0.20161290322580644,0.55625,7.9,0.6,False,False,True,False,False,False
Springsville,0.19808752704683466,0.9045801526717556,100.0,0.7876106194690266,0.25,0.5625,8.5,0.5857142857142856,False,False,True,False,False,False
North Ridge,0.23822153975012217,0.5438931297709924,88.7,0.38495575221238937,0.43548387096774194,0.5637500000000001,7.7,0.5303571428571429,False,False,True,False,False,False
Ridgeshire,0.26118517484469883,0.5133587786259541,70.6,0.3938053097345133,0.34677419354838707,0.52375,7.1,0.7071428571428572,False,False,True,False,False,False
Forestville,0.29301319187547986,0.5248091603053434,78.9,0.5353982300884955,0.2983870967741935,0.6012500000000001,8.5,0.5232142857142857,False,False,True,False,False,False
Garden,0.32937809729880646,0.5400763358778625,76.4,0.5176991150442478,0.3709677419354838,0.5012500000000001,7.6,0.6017857142857144,False,False,True,False,False,False
Bridge,0.24268862985970546,0.41603053435114506,70.1,0.3584070796460177,0.4596774193548387,0.35125000000000006,5.8,0.5392857142857144,False,False,True,False,False,False
Port Bridge,0.19878550987645704,0.6793893129770991,69.8,0.37610619469026546,0.33064516129032256,0.825,8.5,0.5785714285714285,False,False,True,False,False,False
Stone,0.1606756473790745,0.5763358778625953,64.7,0.6238938053097345,0.18548387096774194,1.0,8.5,0.38749999999999996,False,False,True,False,False,False
Riverburg,0.2816360717526349,0.4618320610687023,74.5,0.34513274336283184,0.3709677419354838,0.8525,8.3,0.37857142857142856,False,False,True,False,False,False
Gardenburg,0.16353737698052628,0.4255725190839695,72.6,0.34513274336283184,0.3225806451612903,0.4700000000000001,7.3,0.6964285714285714,False,False,True,False,False,False
Pointborough,0.31618622181894324,0.3320610687022901,74.8,0.30973451327433627,0.2983870967741935,0.6000000000000001,7.4,0.7464285714285713,False,False,True,False,False,False
Parkland,0.049766175752076494,0.3206106870229008,85.1,0.3185840707964602,0.20161290322580644,0.4025000000000001,7.3,0.6696428571428571,False,False,True,False,False,False
Cityport,0.1023940811056048,0.43702290076335876,79.0,0.42920353982300885,0.33064516129032256,0.52875,7.5,0.5249999999999999,False,False,True,False,False,False
Cityhaven,0.15118308089620996,0.5763358778625953,88.7,0.48672566371681414,0.3387096774193548,0.46625000000000005,8.4,0.7535714285714286,False,False,True,False,False,False
San Wood,0.15048509806658758,0.700381679389313,100.0,0.6592920353982301,0.25,0.59125,8.5,0.5803571428571428,False,False,True,False,False,False
Harborshire,0.1824527116632931,0.26145038167938933,54.4,0.26106194690265483,0.27419354838709675,0.38750000000000007,6.1,0.6285714285714286,False,False,True,False,False,False
East Valley,0.02477839045159489,0.765267175572519,100.0,0.7787610619469026,0.10483870967741932,0.82125,8.5,0.7124999999999999,False,False,True,False,False,False
Valleyburg,0.2241920848747121,0.42175572519083976,88.8,0.3672566371681416,0.3709677419354838,0.3325,7.6,0.6553571428571429,False,False,True,False,False,False
Point,0.23326586165980318,0.7290076335877862,87.5,0.5663716814159292,0.2258064516129032,0.905,8.5,0.6857142857142856,False,False,True,False,False,False
Woodshire,0.306763453619041,0.3568702290076336,75.0,0.252212389380531,0.4435483870967742,0.77625,7.1,0.6428571428571428,False,False,True,False,False,False
